Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,1,1,638,1,1,3,2,3,1,40,2,3,4,1,1,10673,3142,2,0,13,3,3,1,21,5,2,10,9,9,5
32,1,0,1093,0,6,4,2,2,1,87,3,2,0,3,0,5010,24301,1,1,16,3,1,0,12,0,3,11,8,5,7
54,1,0,1217,1,2,4,4,1,0,60,3,3,7,3,1,13549,24001,9,1,12,3,1,1,16,5,1,4,3,0,3
24,1,0,1353,0,3,2,1,1,0,33,3,2,0,3,1,4999,17519,0,1,21,4,1,1,4,2,2,3,2,0,2
28,1,2,120,0,4,3,2,2,1,43,3,2,0,3,1,4221,8863,1,1,15,3,2,0,5,3,4,5,4,0,4
58,1,0,682,0,10,4,2,4,1,37,3,4,0,3,0,13872,24409,0,1,13,3,3,0,38,1,2,37,10,1,8
44,1,2,489,1,23,3,2,2,1,67,3,2,2,2,1,2042,25043,4,1,12,3,3,1,17,3,4,3,2,1,2
37,0,0,807,2,6,4,5,3,1,63,3,1,8,1,2,2073,23648,4,0,22,4,4,0,7,3,3,3,2,0,2
32,1,0,827,1,1,1,0,4,1,71,3,1,1,1,0,2956,15178,1,1,13,3,4,0,1,2,3,1,0,0,0
20,0,1,871,1,6,3,0,4,0,66,2,1,2,4,0,2926,19783,1,0,18,3,2,0,1,5,3,1,0,1,0
34,1,0,665,1,6,4,1,1,0,41,3,2,1,3,0,4809,12482,1,1,14,3,3,0,16,3,3,16,13,2,10
37,1,2,1040,1,2,2,0,3,1,100,2,2,4,4,2,5163,15850,5,1,14,3,4,1,17,2,4,1,0,0,0
59,1,2,1420,2,2,4,5,3,0,32,2,5,5,4,1,18844,21922,9,1,21,4,4,1,30,3,3,3,2,2,2
50,1,1,1115,1,1,3,0,1,0,73,3,5,7,2,1,18172,9755,3,0,19,3,1,0,28,1,2,8,3,0,7
25,0,0,240,0,5,3,3,3,1,46,2,2,0,3,0,5744,26959,1,0,11,3,4,0,6,1,3,6,4,0,3
25,1,0,1280,1,7,1,2,4,1,64,2,1,1,4,1,2889,26897,1,1,11,3,3,2,2,2,3,2,2,2,1
22,1,0,534,1,15,3,2,2,0,59,3,1,2,4,0,2871,23785,1,1,15,3,3,0,1,5,3,0,0,0,0
51,1,1,1456,1,1,4,2,1,0,30,2,3,4,1,0,7484,25796,3,1,20,4,3,0,23,1,2,13,12,12,8
34,0,1,658,1,7,3,0,1,1,66,1,2,2,3,0,6074,22887,1,0,24,4,4,0,9,3,3,9,7,0,6
54,1,2,142,2,26,3,5,4,0,30,4,4,5,4,0,17328,13871,2,0,12,3,3,0,23,3,3,5,3,4,4
24,1,0,1127,1,18,1,0,2,1,52,3,1,2,3,1,2774,13257,0,1,12,3,3,1,6,2,3,5,3,1,2
34,1,0,1031,1,6,4,0,3,0,45,2,2,1,2,2,4505,15000,6,1,15,3,3,1,12,3,3,1,0,0,0
37,1,0,1189,0,3,3,0,3,1,87,3,3,0,4,0,7428,14506,2,1,12,3,1,0,12,3,3,5,3,1,3
34,1,0,1354,1,5,3,2,3,0,45,2,3,5,1,0,11631,5615,2,1,12,3,4,0,14,6,3,11,10,5,8
36,1,1,1467,0,11,2,4,2,0,92,3,3,0,4,1,9738,22952,0,1,14,3,3,1,10,6,3,9,7,2,8
36,1,0,922,1,3,2,0,1,0,39,3,1,2,4,2,2835,2561,5,1,22,4,1,1,7,2,3,1,0,0,0
43,1,1,394,0,26,2,0,3,1,92,3,4,5,4,1,16959,19494,1,0,12,3,4,2,25,3,4,25,12,4,12
30,1,1,1312,1,23,3,0,1,1,96,1,1,1,3,2,2613,22310,1,1,25,4,3,3,10,2,2,10,7,0,9
33,1,2,750,0,22,2,3,3,1,95,3,2,0,2,1,6146,15480,0,1,13,3,1,1,8,2,4,7,7,0,7
56,0,0,441,1,14,4,0,2,0,72,3,1,1,2,1,4963,4510,9,0,18,3,1,3,7,2,3,5,4,4,3
51,1,0,684,1,6,3,0,1,1,51,3,5,7,3,0,19537,6462,7,1,13,3,3,0,23,5,3,20,18,15,15
31,0,0,249,0,6,4,0,2,1,76,1,2,0,3,1,6172,20739,4,0,18,3,2,0,12,3,2,7,7,7,7
26,1,0,841,1,6,3,1,3,0,46,2,1,1,2,1,2368,23300,1,1,19,3,3,0,5,3,2,5,4,4,3
58,0,0,147,1,23,4,2,4,0,94,3,3,4,4,1,10312,3465,1,1,12,3,4,1,40,3,2,40,10,15,6
19,0,0,528,0,22,1,3,4,1,50,3,1,6,3,0,1675,26820,1,0,19,3,4,0,0,2,2,0,0,0,0
22,1,0,594,1,2,1,4,3,1,100,3,1,2,4,1,2523,19299,0,1,14,3,3,1,3,2,3,2,1,2,1
49,1,0,470,1,20,4,2,3,0,96,3,2,3,1,1,6567,5549,1,1,14,3,3,0,16,2,2,15,11,5,11
43,1,1,957,1,28,3,2,2,0,72,4,1,1,3,0,4739,16090,4,1,12,3,4,0,18,2,3,3,2,1,2
50,1,1,809,0,12,3,3,3,0,77,3,3,0,4,0,9208,6645,4,1,11,3,4,0,16,3,3,2,2,2,1
31,0,0,542,0,20,3,0,2,0,71,1,2,0,3,1,4559,24788,3,0,11,3,3,1,4,2,3,2,2,2,2
41,1,0,802,0,9,1,0,3,1,96,3,3,0,3,2,8189,21196,3,0,13,3,3,1,12,2,3,9,7,0,7
26,1,0,1355,2,25,1,0,3,0,61,3,1,8,3,1,2942,8916,1,1,23,4,4,1,8,3,3,8,7,5,7
36,1,0,216,1,6,2,2,2,1,84,3,2,3,2,2,4941,2819,6,1,20,4,4,2,7,0,3,3,2,0,1
51,0,1,1150,1,8,4,0,1,1,53,1,3,3,4,0,10650,25150,2,1,15,3,4,0,18,2,3,4,2,0,3
39,1,0,1329,0,4,4,0,4,0,47,2,2,0,3,1,5902,14590,4,1,14,3,3,1,17,1,4,15,11,5,9
25,1,0,959,0,28,3,0,1,1,41,2,2,0,3,1,8639,24835,2,1,18,3,4,0,6,3,3,2,2,2,2
30,1,0,1240,2,9,3,5,3,1,48,3,2,8,4,1,6347,13982,0,0,19,3,4,0,12,2,1,11,9,4,7
32,0,0,1033,1,9,3,2,1,0,41,3,1,2,1,0,4200,10224,7,1,22,4,1,0,10,2,4,5,4,0,4
45,1,0,1316,1,29,3,2,3,1,83,3,1,1,4,0,3452,9752,5,1,13,3,2,0,9,2,2,6,5,0,3
38,1,0,364,1,3,5,4,4,0,32,3,2,1,3,0,4317,2302,3,0,20,4,2,0,19,2,3,3,2,2,2
30,1,0,438,1,18,3,0,1,0,75,3,1,1,3,0,2632,23910,1,1,14,3,3,0,5,4,2,5,4,0,4
32,1,1,689,0,9,2,2,4,1,35,1,2,0,4,2,4668,22812,0,1,17,3,4,3,9,2,4,8,7,0,7
30,1,0,201,1,5,3,4,4,0,84,3,1,1,1,2,3204,10415,5,1,14,3,4,1,8,3,3,3,2,2,2
30,1,0,1427,1,2,1,2,2,1,35,2,1,2,4,0,2720,11162,0,1,13,3,4,0,6,3,3,5,3,1,2
41,1,1,857,1,10,3,0,4,1,91,2,4,5,1,2,17181,12888,4,1,13,3,2,1,21,2,2,7,6,7,7
41,1,0,933,1,9,4,0,3,1,94,3,1,2,1,1,2238,6961,2,1,21,4,4,1,7,2,3,5,0,1,4
19,1,0,1181,1,3,1,2,2,0,79,3,1,2,2,0,1483,16102,1,1,14,3,4,0,1,3,3,1,0,0,0
40,1,1,1395,1,26,3,2,2,0,54,3,2,1,2,2,5605,8504,1,1,11,3,1,1,20,2,3,20,7,2,13
35,1,0,662,0,1,5,3,3,1,94,3,3,0,2,1,7295,11439,1,1,13,3,1,2,10,3,3,10,8,0,6
53,1,0,1436,0,6,2,3,2,1,34,3,2,6,3,1,2306,16047,2,0,20,4,4,1,13,3,1,7,7,4,5
45,1,0,194,1,9,3,0,2,1,60,3,2,2,2,2,2348,10901,8,1,18,3,3,1,20,2,1,17,9,0,15
32,1,1,967,0,8,3,3,2,0,43,3,3,0,4,0,8998,15589,1,1,14,3,4,0,9,2,3,9,8,3,7
29,1,2,1496,1,1,1,4,4,1,41,3,2,3,3,1,4319,26283,1,1,13,3,1,1,10,1,3,10,7,0,9
51,1,0,1169,1,7,4,2,2,1,34,2,2,3,3,1,6132,13983,2,1,17,3,3,0,10,2,3,1,0,0,0
58,1,0,1145,1,9,3,2,2,0,75,2,1,1,2,1,3346,11873,4,0,20,4,2,1,9,3,2,1,0,0,0
40,1,0,630,0,4,4,3,3,1,67,2,3,0,4,1,10855,8552,7,1,11,3,1,1,15,2,2,12,11,2,11
34,1,1,303,0,2,4,3,3,0,75,3,1,6,3,1,2231,11314,6,1,18,3,4,1,6,3,3,4,3,1,2
22,1,0,1256,1,19,1,2,3,1,80,3,1,1,4,1,2323,11992,1,1,24,4,1,2,2,6,3,2,2,2,2
27,1,2,691,1,9,3,2,4,1,57,3,1,1,2,2,2024,5970,6,1,18,3,4,1,6,1,1,2,2,2,2
28,1,0,440,1,21,3,2,3,1,42,3,1,1,4,1,2713,6672,1,1,11,3,3,1,5,2,1,5,2,0,2
57,1,0,334,1,24,2,0,3,1,83,4,3,4,4,2,9439,23402,3,0,16,3,2,1,12,2,1,5,3,1,4
27,1,2,1450,1,3,3,2,3,1,79,2,1,1,3,2,2566,25326,1,0,15,3,4,1,1,2,2,1,1,0,1
50,1,0,1452,1,11,3,0,3,0,53,3,5,5,2,0,19926,17053,3,1,15,3,2,0,21,5,3,5,4,4,4
41,1,0,465,1,14,3,0,1,1,56,3,1,1,3,2,2451,4609,4,1,12,3,1,1,13,2,3,9,8,1,8
30,1,0,1339,0,5,3,0,2,0,41,3,3,0,4,1,9419,8053,2,1,12,3,3,1,12,2,3,10,9,7,4
38,1,0,702,0,1,4,0,1,0,59,2,2,0,4,0,8686,12930,4,1,22,4,3,0,12,2,4,8,3,0,7
32,1,0,120,1,6,5,0,3,1,43,3,1,1,3,0,3038,12430,3,1,20,4,1,0,8,2,3,5,4,1,4
27,1,0,1157,1,17,3,4,3,1,51,3,1,1,2,1,3058,13364,0,0,16,3,4,1,6,3,2,5,2,1,1
19,0,1,602,0,1,1,4,3,0,100,1,1,6,1,0,2325,20989,0,1,21,4,1,0,1,5,4,0,0,0,0
36,1,1,1480,1,3,2,2,4,1,30,3,1,2,2,0,2088,15062,4,1,12,3,3,0,13,3,2,8,7,7,2
30,1,2,111,1,9,3,2,3,1,66,3,2,2,1,2,3072,11012,1,1,11,3,3,2,12,4,3,12,9,6,10
45,1,0,1268,0,4,2,0,3,0,30,3,2,0,1,2,5006,6319,4,0,11,3,1,1,9,3,4,5,4,0,3
56,1,0,713,1,8,3,0,3,0,67,3,1,1,1,2,4257,13939,4,0,18,3,3,1,19,3,3,2,2,2,2
33,1,0,134,1,2,3,0,3,1,90,3,1,1,4,0,2500,10515,0,1,14,3,1,0,4,2,4,3,1,0,2
19,0,0,303,1,2,3,0,2,1,47,2,1,2,4,0,1102,9241,1,1,22,4,3,0,1,3,2,1,0,1,0
46,1,0,526,0,1,2,3,2,0,92,3,3,0,1,2,10453,2137,1,1,25,4,3,3,24,2,3,24,13,15,7
38,1,0,1380,1,9,2,0,3,0,75,3,1,2,4,0,2288,6319,1,1,12,3,3,0,2,3,3,2,2,2,1
31,1,0,140,1,12,1,2,3,0,95,3,1,1,4,1,3929,6984,8,0,23,4,3,1,7,0,3,4,2,0,2
34,1,0,629,1,27,2,2,4,0,95,3,1,1,2,0,2311,5711,2,1,15,3,4,0,9,3,3,3,2,1,2
41,0,0,1356,0,20,2,3,2,0,70,3,1,6,2,0,3140,21728,1,0,22,4,4,0,4,5,2,4,3,0,2
50,1,0,328,1,1,3,2,3,1,86,2,1,2,3,1,3690,3425,2,1,15,3,4,1,5,2,2,3,2,0,2
53,1,0,1084,1,13,2,2,4,0,57,4,2,3,1,2,4450,26250,1,1,11,3,3,2,5,3,3,4,2,1,3
33,1,0,931,1,14,3,2,4,0,72,3,1,1,2,1,2756,4673,1,1,13,3,4,1,8,5,3,8,7,1,6
40,1,0,989,1,4,1,2,4,0,46,3,5,5,3,1,19033,6499,1,1,14,3,2,1,21,2,3,20,8,9,9
55,1,0,692,1,14,4,2,3,1,61,4,5,7,2,0,18722,13339,8,1,11,3,4,0,36,3,3,24,15,2,15
34,1,1,1069,1,2,1,0,4,1,45,2,2,3,3,1,9547,14074,1,1,17,3,3,0,10,2,2,10,9,1,9
51,1,0,313,1,3,3,2,4,0,98,3,4,4,2,0,13734,7192,3,1,18,3,3,0,21,6,3,7,7,1,0
52,1,0,699,1,1,4,0,3,1,65,2,5,5,3,1,19999,5678,0,1,14,3,1,1,34,5,3,33,18,11,9
27,1,0,894,1,9,3,2,4,0,99,3,1,1,2,0,2279,11781,1,1,16,3,4,0,7,2,2,7,7,0,3
35,0,0,556,1,23,2,0,2,1,50,2,2,3,3,1,5916,15497,3,0,13,3,1,0,8,1,3,1,0,0,1
43,1,2,1344,1,7,3,2,4,1,37,4,1,1,4,2,2089,5228,4,1,14,3,4,3,7,3,4,5,4,2,2
45,1,2,1195,1,2,2,2,1,1,65,2,4,5,4,1,16792,20462,9,1,23,4,4,1,22,1,3,20,8,11,8
37,1,0,290,1,21,3,0,2,1,65,4,1,1,1,1,3564,22977,1,0,12,3,1,1,8,3,2,8,7,1,7
35,1,1,138,1,2,3,2,2,0,37,3,2,2,2,0,4425,15986,5,1,11,3,4,0,10,5,3,6,2,1,2
42,1,2,926,1,21,2,2,3,0,36,3,2,3,3,2,5265,16439,2,1,16,3,2,1,11,5,3,5,3,0,2
38,1,0,1261,1,2,4,0,4,1,88,3,2,3,3,1,6553,7259,9,1,14,3,2,0,14,3,3,1,0,0,0
38,1,0,1084,1,29,3,4,4,1,54,3,2,3,4,1,6261,4185,3,1,18,3,1,1,9,3,1,7,7,1,7
27,1,1,472,1,1,1,4,3,1,60,2,2,3,1,1,4298,9679,5,1,19,3,3,1,6,1,3,2,2,2,0
49,1,2,1002,1,18,4,0,4,1,92,3,2,3,4,2,6804,23793,1,0,15,3,1,2,7,0,3,7,7,1,7
34,1,1,878,1,10,4,2,4,1,43,3,1,1,3,2,3815,5972,1,0,17,3,4,1,5,4,4,5,3,2,0
40,1,0,905,1,19,2,2,3,1,99,3,2,2,4,1,2741,16523,8,0,15,3,3,1,15,2,4,7,2,3,7
38,0,0,1180,1,29,1,2,2,1,70,3,2,4,1,1,6673,11354,7,0,19,3,2,0,17,2,3,1,0,0,0
29,0,0,121,0,27,3,3,2,0,35,3,3,0,4,1,7639,24525,1,1,22,4,4,3,10,3,2,10,4,1,9
22,1,0,1136,1,5,3,0,4,1,60,4,1,1,2,2,2328,12392,1,0,16,3,1,1,4,2,2,4,2,2,2
36,1,1,635,1,18,1,2,2,0,73,3,1,2,4,0,2153,7703,1,1,13,3,1,0,8,2,3,8,1,1,7
40,1,2,1151,1,9,5,0,4,1,63,2,2,4,4,1,4876,14242,9,1,14,3,4,1,5,5,1,3,2,0,2
